Customer,Spectral Frequency 1 X,Spectral Frequency 1 Y,Spectral Frequency 2 X,Spectral Frequency 2 Y,K-means cluster,Profiles
2047,24.0,165.8881,23.9362,164.4543,9,['KVKSEGMENT_13']
2048,24.0,5296.2176,23.9362,5249.5941,16,['KVKSEGMENT_13']
2049,0.6851,119.3811,0.6851,119.2996,9,['E3A']
2050,0.8889,638.7623,0.8888,634.1785,0,['KVKSEGMENT_8']
2051,0.5859,31.2576,0.5859,31.2538,9,['KVKSEGMENT_13']
2056,0.6633,162.2017,0.6632,162.2,9,['E3A']
2057,0.5213,38.4585,0.5214,38.4578,9,['KVKSEGMENT_18']
2058,24.0,40.094,23.9362,39.7329,9,['KVKSEGMENT_14']
2059,0.5954,455.7485,0.5954,453.6825,0,['E3C']
2060,24.0,208.1186,23.9362,206.2579,9,['KVKSEGMENT_8']
2061,0.5455,1030.9893,0.5454,1024.5191,14,['E3C']
2062,24.0,83.0767,23.9362,82.3586,9,['KVKSEGMENT_8']
2063,1.0,659.7004,0.9999,654.3018,0,['KVKSEGMENT_14']
2064,0.7501,53.1576,0.7501,53.0781,9,['KVKSEGMENT_12']
2065,0.521,31.0281,0.521,31.0263,9,['KVKSEGMENT_14']
2066,0.5455,33.5266,0.5455,33.47,9,['E3D']
2068,24.0,95.0908,24.0642,94.5515,9,['KVKSEGMENT_17']
2069,24.0,51.3486,24.0642,50.91,9,['KVKSEGMENT_1']
2070,1.0,5352.8026,1.0001,5314.6874,16,['KVKSEGMENT_4']
2071,0.5106,39.7242,0.5106,39.6859,9,['E3A']
2072,24.0,130.5896,24.0642,129.6846,9,['E3A']
2074,24.0,340.0048,23.9362,337.184,0,['E3A']
2078,0.5,917.9599,0.5,909.8947,14,['E3C']
2079,1.0,50.2026,0.9999,49.8856,9,['KVKSEGMENT_4']
2080,0.5581,33.9412,0.5582,33.9311,9,['E3C']
2081,24.0,188.3035,24.0642,186.6087,9,['E3B']
2082,24.0,1136.3585,23.9362,1127.3824,14,['KVKSEGMENT_14']
2083,8.0,65.0547,8.0071,64.7107,9,['KVKSEGMENT_19']
2084,1.0,760.2479,1.0001,758.9593,14,['E3B']
2086,24.0,57.357,24.0642,56.9268,9,['KVKSEGMENT_19']
2087,24.0,284.0307,23.9362,282.0543,0,['KVKSEGMENT_1']
2088,24.0,69.6782,23.9362,69.1008,9,['KVKSEGMENT_19']
2089,0.6317,31.4646,0.6317,31.4503,9,['E3B']
2090,12.0,268.6178,11.984,266.9186,9,['E3B']
2092,24.0,47.0367,23.9362,46.7389,9,['E3C']
