Customer,Spectral Frequency,K-means cluster,Profiles
1119,0.57,25,['KVKSEGMENT_18']
1121,24.0,1,['KVKSEGMENT_17']
1123,0.51,6,['KVKSEGMENT_20']
1124,0.65,22,['KVKSEGMENT_18']
1125,0.61,17,['E3C']
1126,1.0,0,['E3B']
1127,0.59,17,['KVKSEGMENT_14']
1131,1.2,14,['KVKSEGMENT_13']
1133,0.53,6,['E3A']
1135,6.0,4,['KVKSEGMENT_10']
1136,0.55,25,['E3A']
1137,24.0,1,['KVKSEGMENT_4']
1139,12.0,2,['KVKSEGMENT_1']
1140,0.5,6,['KVKSEGMENT_19']
1141,24.0,1,['E3C']
1142,4.0,8,['KVKSEGMENT_8']
1144,0.52,6,['KVKSEGMENT_16']
1145,24.0,1,['KVKSEGMENT_1']
1146,0.52,6,['KVKSEGMENT_13']
1147,0.6,17,['KVKSEGMENT_18']
1148,24.0,1,['E3B']
1149,0.52,6,['KVKSEGMENT_13']
1151,0.55,25,['KVKSEGMENT_8']
1152,24.0,1,['KVKSEGMENT_2']
1153,24.0,1,['KVKSEGMENT_7']
1154,0.54,25,['KVKSEGMENT_12']
1155,0.58,17,['KVKSEGMENT_8']
1156,0.51,6,['KVKSEGMENT_10']
1157,0.51,6,['KVKSEGMENT_16']
1159,24.0,1,['KVKSEGMENT_8']
1161,24.0,1,['E3B']
1162,24.0,1,['E3C']
1164,24.0,1,['KVKSEGMENT_16']
1165,24.0,1,['KVKSEGMENT_14']
1167,0.57,25,['E3C']
1168,24.0,1,['E3B']
1170,24.0,1,['KVKSEGMENT_20']
1172,4.0,8,['KVKSEGMENT_1']
1174,1.14,14,['KVKSEGMENT_6']
1175,24.0,1,['E3C']
1176,1.0,0,['KVKSEGMENT_8']
1179,24.0,1,['KVKSEGMENT_4']
1180,24.0,1,['E3C']
1183,1.2,14,['E3C']
1184,0.5,6,['KVKSEGMENT_16']
1186,24.0,1,['KVKSEGMENT_4']
1187,12.0,2,['KVKSEGMENT_19']
1188,0.52,6,['KVKSEGMENT_16']
1189,0.51,6,['KVKSEGMENT_8']
1190,0.5,6,['E3A']
1191,24.0,1,['E3A']
1192,24.0,1,['KVKSEGMENT_12']
1193,0.75,13,['E3A']
1194,1.0,0,['KVKSEGMENT_8']
1195,1.0,0,['E3A']
1197,0.69,22,['KVKSEGMENT_19']
1199,1.0,0,['E3C']
1200,1.41,10,['KVKSEGMENT_4']
1203,24.0,1,['E3B']
1204,12.0,2,['KVKSEGMENT_1']
1206,24.0,1,['E3A']
1208,3.43,15,['KVKSEGMENT_10']
1209,8.0,7,['KVKSEGMENT_11']
1210,0.51,6,['KVKSEGMENT_1']
1211,0.96,0,['KVKSEGMENT_2']
1212,24.0,1,['E3C']
1213,24.0,1,['E3C']
1214,0.54,25,['E3B']
1215,12.0,2,['E3A']
1216,24.0,1,['KVKSEGMENT_19']
1217,24.0,1,['E3A']
1219,0.5,6,['KVKSEGMENT_8']
1221,1.39,10,['E3B']
1222,24.0,1,['KVKSEGMENT_13']
1223,0.53,6,['E3A']
1224,0.55,25,['E3A']
1226,0.51,6,['E3A']
1228,24.0,1,['KVKSEGMENT_13']
1229,0.59,17,['KVKSEGMENT_20']
1231,0.83,21,['KVKSEGMENT_14']
1232,24.0,1,['E3A']
1233,0.5,6,['KVKSEGMENT_12']
1234,0.55,25,['KVKSEGMENT_4']
1235,0.56,25,['KVKSEGMENT_8']
1237,24.0,1,['KVKSEGMENT_8']
1238,0.52,6,['KVKSEGMENT_13']
1239,2.67,16,['E3A']
1240,12.0,2,['KVKSEGMENT_20']
1241,24.0,1,['KVKSEGMENT_19']
1243,24.0,1,['E3A']
1244,0.55,25,['KVKSEGMENT_20']
1245,1.0,0,['KVKSEGMENT_8']
1246,0.71,13,['KVKSEGMENT_4']
1249,1.0,0,['KVKSEGMENT_18']
1250,24.0,1,['KVKSEGMENT_8']
1251,0.5,6,['KVKSEGMENT_1']
1252,0.51,6,['E3A']
1253,0.52,6,['E3B']
1254,12.0,2,['KVKSEGMENT_14']
1256,24.0,1,['E3D']
1257,24.0,1,['KVKSEGMENT_1']
1259,0.96,0,['KVKSEGMENT_16']
1262,1.0,0,['E3C']
1263,0.53,6,['E3A']
1264,2.67,16,['E3A']
1265,3.93,8,['E3C']
1266,1.26,19,['KVKSEGMENT_2']
1268,24.0,1,['E3B']
1269,0.52,6,['E3B']
1270,0.55,25,['E3A']
1274,0.5,6,['KVKSEGMENT_10']
1275,24.0,1,['KVKSEGMENT_1']
1276,0.91,21,['KVKSEGMENT_4']
1277,24.0,1,['E3B']
1278,24.0,1,['KVKSEGMENT_12']
1280,24.0,1,['KVKSEGMENT_10']
1281,24.0,1,['E3B']
1284,1.0,0,['KVKSEGMENT_14']
1287,24.0,1,['E3B']
1288,0.51,6,['E3C']
1289,24.0,1,['KVKSEGMENT_4']
1290,0.65,22,['E3B']
1291,0.57,25,['E3A']
1292,24.0,1,['KVKSEGMENT_4']
1293,23.94,1,['E3A']
1294,2.4,5,['KVKSEGMENT_8']
1295,0.51,6,['KVKSEGMENT_14']
1297,2.4,5,['KVKSEGMENT_8']
1298,24.0,1,['E3D']
1299,24.0,1,['KVKSEGMENT_10']
1300,12.0,2,['E3B']
1305,0.53,6,['KVKSEGMENT_13']
1306,24.0,1,['KVKSEGMENT_18']
1307,0.59,17,['KVKSEGMENT_1']
1309,24.0,1,['KVKSEGMENT_8']
1313,0.5,6,['E3C']
1318,1.0,0,['KVKSEGMENT_14']
1319,0.8,13,['E3A']
1320,24.0,1,['E3C']
1321,24.0,1,['KVKSEGMENT_19']
1322,0.5,6,['E3B']
1323,0.51,6,['E3A']
1324,1.0,0,['KVKSEGMENT_10']
1325,1.09,0,['KVKSEGMENT_4']
1326,24.0,1,['KVKSEGMENT_16']
1327,6.0,4,['E3A']
1329,0.51,6,['E3A']
1330,24.0,1,['E3C']
1332,0.53,6,['KVKSEGMENT_11']
1333,12.0,2,['KVKSEGMENT_10']
1336,0.61,17,['KVKSEGMENT_16']
1337,0.83,21,['E3B']
1338,0.83,21,['E3A']
1340,3.0,11,['E3B']
1342,0.52,6,['E3A']
1343,24.0,1,['KVKSEGMENT_4']
1344,1.6,18,['E3C']
1345,0.55,25,['KVKSEGMENT_17']
1346,24.0,1,['E3B']
1347,0.67,22,['E3C']
1348,2.0,9,['E3C']
1349,0.51,6,['KVKSEGMENT_4']
1350,24.0,1,['E3A']
1351,24.0,1,['KVKSEGMENT_18']
1352,24.0,1,['KVKSEGMENT_4']
1353,24.0,1,['E3C']
1354,24.0,1,['KVKSEGMENT_18']
1356,24.0,1,['E3A']
1358,24.0,1,['KVKSEGMENT_12']
1359,0.63,22,['KVKSEGMENT_4']
1360,8.0,7,['E3C']
1361,1.2,14,['E3D']
1362,0.5,6,['KVKSEGMENT_4']
1363,24.0,1,['KVKSEGMENT_4']
1364,24.0,1,['KVKSEGMENT_18']
1368,2.0,9,['KVKSEGMENT_4']
1369,0.51,6,['KVKSEGMENT_16']
1370,0.96,0,['KVKSEGMENT_18']
1374,0.5,6,['E3A']
1375,0.86,21,['E3A']
1376,24.0,1,['E3A']
1378,4.8,12,['KVKSEGMENT_8']
1379,24.0,1,['E3A']
1380,1.0,0,['KVKSEGMENT_8']
1381,6.0,4,['E3B']
1382,24.0,1,['KVKSEGMENT_14']
1383,0.55,25,['E3B']
1388,0.5,6,['E3C']
1389,24.0,1,['KVKSEGMENT_8']
1390,24.0,1,['E3A']
1391,24.0,1,['E3C']
1392,0.51,6,['E3A']
1393,0.63,22,['KVKSEGMENT_1']
1395,1.5,10,['KVKSEGMENT_8']
1398,24.0,1,['KVKSEGMENT_13']
1399,0.67,22,['KVKSEGMENT_11']
1403,0.5,6,['E3B']
1405,24.0,1,['E3B']
1407,12.0,2,['KVKSEGMENT_16']
1411,24.0,1,['KVKSEGMENT_1']
1412,0.51,6,['E3B']
1413,24.0,1,['KVKSEGMENT_1']
1414,24.0,1,['E3B']
1415,1.26,19,['KVKSEGMENT_14']
1418,0.51,6,['E3B']
1420,3.43,15,['KVKSEGMENT_4']
1421,24.0,1,['E3B']
1422,24.0,1,['KVKSEGMENT_13']
1423,24.0,1,['KVKSEGMENT_4']
1424,24.0,1,['KVKSEGMENT_13']
1425,24.0,1,['E3B']
1427,24.0,1,['KVKSEGMENT_1']
1428,24.0,1,['E3A']
1430,24.0,1,['KVKSEGMENT_8']
1431,24.0,1,['KVKSEGMENT_8']
1432,24.0,1,['KVKSEGMENT_20']
1433,6.0,4,['E3C']
1434,8.0,7,['KVKSEGMENT_19']
1436,1.85,24,['KVKSEGMENT_8']
1439,0.99,0,['KVKSEGMENT_1']
1440,1.26,19,['E3A']
1441,1.57,18,['KVKSEGMENT_10']
1443,1.0,0,['E3A']
1444,24.0,1,['KVKSEGMENT_1']
1445,24.0,1,['KVKSEGMENT_1']
1446,1.9,24,['E3A']
1447,24.0,1,['KVKSEGMENT_8']
1448,1.0,0,['E3C']
1449,24.0,1,['E3B']
1450,1.85,24,['KVKSEGMENT_8']
1451,8.0,7,['KVKSEGMENT_19']
1452,24.0,1,['E3A']
1453,24.0,1,['E3A']
1454,24.0,1,['KVKSEGMENT_18']
1456,0.88,21,['E3B']
1458,0.5,6,['E3C']
1460,12.0,2,['KVKSEGMENT_1']
1463,0.58,17,['KVKSEGMENT_11']
1465,0.71,13,['KVKSEGMENT_13']
1467,24.0,1,['KVKSEGMENT_14']
1470,24.0,1,['KVKSEGMENT_4']
1472,1.2,14,['KVKSEGMENT_4']
1474,0.5,6,['E3D']
1476,24.0,1,['KVKSEGMENT_4']
1477,12.0,2,['E3A']
1478,24.0,1,['E3C']
1482,2.18,20,['KVKSEGMENT_4']
1485,24.0,1,['KVKSEGMENT_19']
1488,0.53,6,['KVKSEGMENT_16']
1492,0.5,6,['KVKSEGMENT_17']
1493,0.5,6,['E3C']
1494,0.63,22,['KVKSEGMENT_14']
1495,24.0,1,['KVKSEGMENT_2']
1496,24.0,1,['KVKSEGMENT_9']
1497,24.0,1,['KVKSEGMENT_16']
1498,24.0,1,['KVKSEGMENT_20']
1500,7.99,7,['KVKSEGMENT_19']
1501,24.0,1,['KVKSEGMENT_1']
1503,1.6,18,['E3C']
1505,0.57,25,['KVKSEGMENT_18']
1507,24.0,1,['E3A']
1508,24.0,1,['KVKSEGMENT_8']
1510,12.0,2,['E3A']
1512,0.57,25,['KVKSEGMENT_14']
1514,24.0,1,['KVKSEGMENT_17']
1517,0.54,25,['KVKSEGMENT_8']
1521,1.33,19,['KVKSEGMENT_1']
1522,1.5,10,['E3B']
1523,0.51,6,['KVKSEGMENT_19']
1524,2.4,5,['KVKSEGMENT_4']
1526,1.2,14,['KVKSEGMENT_8']
1527,4.0,8,['E3B']
1528,24.0,1,['KVKSEGMENT_8']
1529,0.5,6,['E3B']
1530,1.09,0,['E3A']
1531,24.0,1,['E3B']
1532,24.0,1,['KVKSEGMENT_16']
1533,24.0,1,['KVKSEGMENT_12']
1534,24.0,1,['E3A']
1535,12.0,2,['KVKSEGMENT_1']
1536,0.52,6,['KVKSEGMENT_14']
1537,24.0,1,['E3B']
1538,0.55,25,['KVKSEGMENT_2']
1539,0.5,6,['KVKSEGMENT_1']
1541,0.5,6,['KVKSEGMENT_19']
1546,6.0,4,['KVKSEGMENT_19']
1548,2.0,9,['E3C']
1550,24.0,1,['KVKSEGMENT_10']
1551,24.0,1,['KVKSEGMENT_4']
1553,0.52,6,['E3B']
1554,1.2,14,['KVKSEGMENT_18']
1555,0.51,6,['E3C']
1557,0.5,6,['KVKSEGMENT_8']
1558,0.55,25,['E3A']
1560,0.56,25,['KVKSEGMENT_1']
1561,24.0,1,['E3A']
1562,24.0,1,['KVKSEGMENT_19']
1564,12.0,2,['KVKSEGMENT_17']
1566,24.0,1,['E3A']
1568,0.67,22,['KVKSEGMENT_8']
1570,24.0,1,['E3D']
1571,24.0,1,['KVKSEGMENT_1']
1572,24.0,1,['E3B']
1573,24.0,1,['KVKSEGMENT_12']
1574,24.0,1,['E3A']
1578,1.6,18,['E3C']
1579,0.62,17,['KVKSEGMENT_11']
1580,24.0,1,['KVKSEGMENT_10']
1581,1.5,10,['E3C']
1583,0.52,6,['KVKSEGMENT_16']
1584,3.43,15,['KVKSEGMENT_8']
1586,24.0,1,['KVKSEGMENT_4']
1587,24.0,1,['KVKSEGMENT_8']
1588,24.0,1,['KVKSEGMENT_1']
1589,24.0,1,['KVKSEGMENT_19']
1590,24.0,1,['E3A']
1592,24.0,1,['E3B']
1593,24.0,1,['KVKSEGMENT_8']
1595,0.5,6,['E3B']
1596,24.0,1,['KVKSEGMENT_1']
1597,24.0,1,['E3A']
1598,0.52,6,['E3B']
1599,0.5,6,['E3A']
1600,0.52,6,['E3B']
1602,24.0,1,['E3C']
1603,24.0,1,['KVKSEGMENT_1']
1607,24.0,1,['KVKSEGMENT_8']
1609,24.0,1,['KVKSEGMENT_17']
1610,24.0,1,['E3B']
1611,24.0,1,['E3A']
1612,24.0,1,['KVKSEGMENT_4']
1613,24.0,1,['KVKSEGMENT_13']
1615,24.0,1,['KVKSEGMENT_1']
1618,24.0,1,['E3B']
1621,6.0,4,['KVKSEGMENT_16']
1623,24.0,1,['KVKSEGMENT_15']
1625,24.0,1,['KVKSEGMENT_14']
1626,0.51,6,['KVKSEGMENT_14']
1627,24.0,1,['E3C']
1630,24.0,1,['KVKSEGMENT_1']
1631,0.62,17,['KVKSEGMENT_13']
1632,0.54,25,['E3A']
1633,0.63,22,['KVKSEGMENT_19']
1634,24.0,1,['E3C']
1635,1.26,19,['KVKSEGMENT_18']
1636,24.0,1,['KVKSEGMENT_13']
1638,3.48,15,['KVKSEGMENT_6']
1641,24.0,1,['KVKSEGMENT_18']
1642,0.53,6,['KVKSEGMENT_19']
1643,24.0,1,['E3A']
1644,0.5,6,['E3B']
1645,0.5,6,['E3B']
1646,24.0,1,['KVKSEGMENT_8']
1647,24.0,1,['E3C']
1648,24.0,1,['E3A']
1650,0.53,6,['KVKSEGMENT_16']
1651,24.0,1,['E3B']
1654,0.56,25,['KVKSEGMENT_16']
1655,24.0,1,['KVKSEGMENT_12']
1656,24.0,1,['KVKSEGMENT_12']
1658,12.0,2,['KVKSEGMENT_4']
1659,24.0,1,['KVKSEGMENT_15']
1662,1.0,0,['E3C']
1663,0.51,6,['KVKSEGMENT_9']
1665,24.0,1,['KVKSEGMENT_1']
1668,0.51,6,['E3B']
1669,0.53,6,['KVKSEGMENT_16']
1673,1.14,14,['E3A']
1674,0.52,6,['KVKSEGMENT_13']
1676,0.55,25,['E3B']
1677,24.0,1,['KVKSEGMENT_12']
1679,24.0,1,['KVKSEGMENT_19']
1681,8.0,7,['E3C']
1682,1.33,19,['E3B']
1683,24.0,1,['E3B']
1684,12.0,2,['KVKSEGMENT_19']
1685,24.0,1,['KVKSEGMENT_8']
1686,1.16,14,['E3A']
1688,0.5,6,['E3B']
1690,0.5,6,['E3C']
1691,0.5,6,['E3A']
1692,0.67,22,['E3B']
1693,0.57,25,['KVKSEGMENT_13']
1694,24.0,1,['E3B']
1696,0.8,13,['KVKSEGMENT_4']
1697,0.51,6,['KVKSEGMENT_13']
1698,24.0,1,['KVKSEGMENT_13']
1701,24.0,1,['KVKSEGMENT_12']
1702,24.0,1,['E3B']
1704,24.0,1,['E3C']
1705,0.53,6,['E3C']
1706,24.0,1,['E3A']
1707,24.0,1,['KVKSEGMENT_1']
1708,0.56,25,['E3A']
1710,0.8,13,['KVKSEGMENT_14']
1711,24.0,1,['KVKSEGMENT_19']
1713,24.0,1,['KVKSEGMENT_12']
1714,2.53,5,['KVKSEGMENT_13']
1716,0.5,6,['KVKSEGMENT_4']
1717,0.61,17,['KVKSEGMENT_11']
1718,24.0,1,['KVKSEGMENT_16']
1719,0.83,21,['KVKSEGMENT_1']
1720,24.0,1,['E3B']
1721,0.5,6,['E3A']
1723,0.64,22,['E3B']
1724,0.51,6,['E3A']
1727,0.51,6,['E3C']
1728,0.51,6,['KVKSEGMENT_20']
1730,0.5,6,['KVKSEGMENT_8']
1731,24.0,1,['E3B']
1732,0.57,25,['KVKSEGMENT_16']
1733,1.0,0,['KVKSEGMENT_9']
1736,3.0,11,['E3C']
1737,0.52,6,['KVKSEGMENT_10']
1738,24.0,1,['KVKSEGMENT_8']
1742,0.55,25,['KVKSEGMENT_1']
1746,24.0,1,['KVKSEGMENT_20']
1747,0.56,25,['KVKSEGMENT_4']
1748,24.0,1,['E3A']
1750,24.0,1,['KVKSEGMENT_1']
1751,24.0,1,['KVKSEGMENT_7']
1752,24.0,1,['KVKSEGMENT_4']
1753,24.0,1,['E3C']
1754,24.0,1,['KVKSEGMENT_8']
1755,2.0,9,['E3B']
1757,24.0,1,['KVKSEGMENT_13']
1758,24.0,1,['E3A']
1760,24.0,1,['KVKSEGMENT_8']
1761,24.0,1,['E3A']
1762,3.0,11,['KVKSEGMENT_4']
1763,0.5,6,['KVKSEGMENT_8']
1764,1.0,0,['E3A']
1765,24.0,1,['KVKSEGMENT_8']
1766,0.54,25,['KVKSEGMENT_6']
1767,0.5,6,['E3C']
1768,24.0,1,['E3C']
1769,24.0,1,['KVKSEGMENT_4']
1770,24.0,1,['KVKSEGMENT_1']
1771,24.0,1,['KVKSEGMENT_8']
1773,24.0,1,['E3A']
1776,24.0,1,['KVKSEGMENT_4']
1777,0.55,25,['KVKSEGMENT_6']
1780,24.0,1,['KVKSEGMENT_15']
1781,0.5,6,['E3C']
1782,2.0,9,['KVKSEGMENT_8']
1788,24.0,1,['KVKSEGMENT_12']
1789,12.0,2,['E3B']
1790,24.0,1,['E3A']
1794,24.0,1,['KVKSEGMENT_13']
1796,24.0,1,['E3A']
1797,24.0,1,['KVKSEGMENT_12']
1799,24.0,1,['KVKSEGMENT_8']
1800,12.0,2,['E3A']
1801,24.0,1,['KVKSEGMENT_8']
1804,0.6,17,['E3C']
1805,0.51,6,['KVKSEGMENT_16']
1806,0.56,25,['KVKSEGMENT_16']
1807,1.0,0,['KVKSEGMENT_14']
1810,0.5,6,['KVKSEGMENT_6']
1811,6.0,4,['E3C']
1812,0.53,6,['E3A']
1813,24.0,1,['KVKSEGMENT_17']
1815,6.0,4,['KVKSEGMENT_19']
1817,1.0,0,['KVKSEGMENT_4']
1818,24.0,1,['KVKSEGMENT_18']
1820,0.5,6,['KVKSEGMENT_13']
1821,6.0,4,['KVKSEGMENT_4']
1822,1.0,0,['E3B']
1823,24.0,1,['KVKSEGMENT_8']
1824,24.0,1,['KVKSEGMENT_1']
1826,0.86,21,['KVKSEGMENT_14']
1827,6.0,4,['E3C']
1828,0.51,6,['KVKSEGMENT_19']
1829,4.8,12,['E3A']
1830,24.0,1,['KVKSEGMENT_4']
1831,24.0,1,['E3B']
1833,24.0,1,['KVKSEGMENT_1']
1834,0.81,13,['E3A']
1835,24.0,1,['E3A']
1836,0.8,13,['E3C']
1838,24.0,1,['E3B']
1840,0.57,25,['E3C']
1841,1.0,0,['E3D']
1842,24.0,1,['KVKSEGMENT_1']
1845,8.0,7,['KVKSEGMENT_9']
1846,24.0,1,['E3A']
1847,2.4,5,['KVKSEGMENT_8']
1848,24.0,1,['KVKSEGMENT_4']
1849,11.98,2,['KVKSEGMENT_1']
1850,0.51,6,['KVKSEGMENT_18']
1851,24.0,1,['KVKSEGMENT_1']
1852,24.0,1,['KVKSEGMENT_19']
1853,0.5,6,['KVKSEGMENT_8']
1854,0.55,25,['KVKSEGMENT_16']
1857,0.56,25,['E3A']
1858,0.56,25,['E3B']
1859,0.5,6,['E3B']
1860,0.58,17,['E3A']
1862,0.53,6,['E3B']
1863,0.51,6,['KVKSEGMENT_19']
1864,0.52,6,['KVKSEGMENT_13']
1865,24.0,1,['KVKSEGMENT_13']
1867,8.0,7,['KVKSEGMENT_4']
1869,24.0,1,['KVKSEGMENT_1']
1875,12.0,2,['KVKSEGMENT_13']
1876,0.55,25,['KVKSEGMENT_20']
1877,0.62,17,['KVKSEGMENT_20']
1878,24.0,1,['KVKSEGMENT_10']
1880,24.0,1,['KVKSEGMENT_8']
1881,24.0,1,['E3A']
1882,24.0,1,['KVKSEGMENT_9']
1884,24.0,1,['KVKSEGMENT_1']
1885,1.18,14,['KVKSEGMENT_16']
1886,24.0,1,['E3C']
1887,24.0,1,['KVKSEGMENT_8']
1888,1.5,10,['KVKSEGMENT_2']
1890,24.0,1,['KVKSEGMENT_7']
1891,0.5,6,['KVKSEGMENT_4']
1892,0.59,17,['E3A']
1894,12.0,2,['KVKSEGMENT_19']
1895,0.53,6,['KVKSEGMENT_1']
1897,24.0,1,['KVKSEGMENT_7']
1898,0.51,6,['KVKSEGMENT_18']
1900,12.0,2,['KVKSEGMENT_13']
1902,24.0,1,['KVKSEGMENT_1']
1903,0.53,6,['E3A']
1905,24.0,1,['KVKSEGMENT_12']
1906,0.67,22,['KVKSEGMENT_14']
1908,0.57,25,['KVKSEGMENT_18']
1910,8.0,7,['KVKSEGMENT_19']
1911,0.64,22,['E3A']
1912,12.0,2,['KVKSEGMENT_20']
1918,0.52,6,['E3A']
1919,0.55,25,['E3A']
1920,24.0,1,['KVKSEGMENT_16']
1923,0.5,6,['KVKSEGMENT_16']
1924,24.0,1,['E3A']
1925,0.59,17,['KVKSEGMENT_14']
1927,24.0,1,['KVKSEGMENT_10']
1928,1.0,0,['E3B']
1929,12.0,2,['E3C']
1930,12.0,2,['KVKSEGMENT_14']
1933,0.55,25,['KVKSEGMENT_8']
1934,8.0,7,['KVKSEGMENT_6']
1935,1.5,10,['E3C']
1936,0.65,22,['E3C']
1941,0.52,6,['E3B']
1942,0.76,13,['KVKSEGMENT_4']
1943,4.8,12,['E3B']
1945,0.62,17,['KVKSEGMENT_16']
1946,24.0,1,['E3C']
1948,0.51,6,['KVKSEGMENT_1']
1949,24.0,1,['KVKSEGMENT_4']
1951,6.0,4,['KVKSEGMENT_1']
1952,1.71,18,['KVKSEGMENT_18']
1953,24.0,1,['KVKSEGMENT_4']
1954,1.02,0,['KVKSEGMENT_2']
1955,24.0,1,['KVKSEGMENT_14']
1956,1.41,10,['KVKSEGMENT_4']
1957,24.0,1,['KVKSEGMENT_12']
1959,0.5,6,['KVKSEGMENT_12']
1960,24.0,1,['E3A']
1961,0.83,21,['KVKSEGMENT_14']
1962,24.0,1,['E3A']
1964,24.0,1,['E3B']
1967,0.52,6,['E3A']
1968,0.5,6,['KVKSEGMENT_8']
1969,12.0,2,['E3B']
1970,1.04,0,['KVKSEGMENT_8']
1971,24.0,1,['E3C']
1973,0.59,17,['E3D']
1974,24.0,1,['E3A']
1977,24.0,1,['E3B']
1982,24.0,1,['KVKSEGMENT_19']
1985,24.0,1,['KVKSEGMENT_14']
1987,2.0,9,['E3C']
1988,24.0,1,['E3A']
1989,0.5,6,['KVKSEGMENT_2']
1990,1.8,24,['E3A']
1991,24.0,1,['E3A']
1992,24.0,1,['E3B']
1995,0.67,22,['KVKSEGMENT_8']
1996,24.0,1,['E3C']
1997,0.86,21,['E3C']
1999,12.0,2,['E3C']
2000,24.0,1,['E3C']
2001,0.83,21,['E3B']
2002,0.53,6,['E3A']
2003,24.0,1,['E3C']
2004,0.5,6,['E3C']
2005,24.0,1,['E3B']
2006,24.0,1,['E3A']
2007,0.51,6,['KVKSEGMENT_7']
2008,8.0,7,['KVKSEGMENT_19']
2009,0.59,17,['KVKSEGMENT_4']
2011,0.63,22,['KVKSEGMENT_14']
2012,0.52,6,['E3C']
2013,24.0,1,['KVKSEGMENT_1']
2014,0.96,0,['KVKSEGMENT_10']
2016,2.0,9,['E3C']
2017,24.0,1,['E3C']
2018,1.0,0,['KVKSEGMENT_8']
2020,24.0,1,['KVKSEGMENT_1']
2023,0.54,25,['KVKSEGMENT_10']
2025,24.0,1,['KVKSEGMENT_18']
2026,0.56,25,['E3A']
2029,24.0,1,['KVKSEGMENT_14']
2031,1.0,0,['E3C']
2032,24.0,1,['KVKSEGMENT_13']
2035,24.0,1,['KVKSEGMENT_8']
2039,24.0,1,['KVKSEGMENT_8']
2040,0.5,6,['E3C']
2044,12.0,2,['KVKSEGMENT_14']
2047,24.0,1,['KVKSEGMENT_13']
2048,24.0,1,['KVKSEGMENT_13']
2049,0.69,22,['E3A']
2050,0.89,21,['KVKSEGMENT_8']
2051,0.59,17,['KVKSEGMENT_13']
2056,0.66,22,['E3A']
2057,0.52,6,['KVKSEGMENT_18']
2058,24.0,1,['KVKSEGMENT_14']
2059,0.6,17,['E3C']
2060,24.0,1,['KVKSEGMENT_8']
2061,0.55,25,['E3C']
2062,24.0,1,['KVKSEGMENT_8']
2063,1.0,0,['KVKSEGMENT_14']
2064,0.75,13,['KVKSEGMENT_12']
2065,0.52,6,['KVKSEGMENT_14']
2066,0.55,25,['E3D']
2068,24.0,1,['KVKSEGMENT_17']
2069,24.0,1,['KVKSEGMENT_1']
2070,1.0,0,['KVKSEGMENT_4']
2071,0.51,6,['E3A']
2072,24.0,1,['E3A']
2074,24.0,1,['E3A']
2078,0.5,6,['E3C']
2079,1.0,0,['KVKSEGMENT_4']
2080,0.56,25,['E3C']
2081,24.0,1,['E3B']
2082,24.0,1,['KVKSEGMENT_14']
2083,8.0,7,['KVKSEGMENT_19']
2084,1.0,0,['E3B']
2086,24.0,1,['KVKSEGMENT_19']
2087,24.0,1,['KVKSEGMENT_1']
2088,24.0,1,['KVKSEGMENT_19']
2089,0.63,22,['E3B']
2090,12.0,2,['E3B']
2092,24.0,1,['E3C']
2093,24.0,1,['E3B']
2094,1.11,14,['E3A']
2096,24.0,1,['KVKSEGMENT_17']
2098,24.0,1,['KVKSEGMENT_13']
2099,1.0,0,['KVKSEGMENT_14']
2100,1.65,18,['E3C']
2101,0.56,25,['E3B']
2104,0.62,17,['E3A']
2105,24.0,1,['E3B']
2106,0.57,25,['KVKSEGMENT_1']
2109,24.0,1,['E3B']
2110,24.0,1,['E3A']
2111,24.0,1,['E3B']
2113,0.5,6,['KVKSEGMENT_8']
2114,0.62,17,['E3C']
2115,12.0,2,['KVKSEGMENT_9']
2116,0.51,6,['KVKSEGMENT_8']
2117,24.0,1,['E3A']
2118,24.0,1,['KVKSEGMENT_13']
2121,1.0,0,['KVKSEGMENT_1']
2123,0.51,6,['KVKSEGMENT_13']
2125,24.0,1,['KVKSEGMENT_14']
2128,0.57,25,['KVKSEGMENT_12']
2129,24.0,1,['E3C']
2130,0.5,6,['KVKSEGMENT_16']
2131,0.55,25,['E3A']
2133,24.0,1,['KVKSEGMENT_1']
2134,2.0,9,['E3C']
2138,0.5,6,['E3A']
2140,1.5,10,['KVKSEGMENT_2']
2141,24.0,1,['E3B']
2142,24.0,1,['KVKSEGMENT_13']
2144,24.0,1,['KVKSEGMENT_19']
2145,0.54,25,['KVKSEGMENT_1']
2146,24.0,1,['E3C']
2147,24.0,1,['KVKSEGMENT_10']
2148,0.5,6,['E3B']
2149,24.0,1,['KVKSEGMENT_14']
2150,24.0,1,['E3A']
2152,24.0,1,['E3B']
2153,0.59,17,['E3A']
2154,24.0,1,['KVKSEGMENT_4']
2156,0.65,22,['E3C']
2158,0.5,6,['KVKSEGMENT_10']
2163,0.5,6,['E3B']
2164,24.0,1,['KVKSEGMENT_8']
2165,0.56,25,['E3B']
2168,1.2,14,['KVKSEGMENT_8']
2170,24.0,1,['KVKSEGMENT_8']
2171,0.5,6,['E3C']
2173,24.0,1,['KVKSEGMENT_16']
2175,0.5,6,['E3B']
2176,1.85,24,['E3C']
2180,4.0,8,['KVKSEGMENT_2']
2181,24.0,1,['KVKSEGMENT_13']
2182,8.0,7,['KVKSEGMENT_19']
2183,0.56,25,['KVKSEGMENT_19']
2184,24.0,1,['KVKSEGMENT_1']
2186,2.4,5,['KVKSEGMENT_20']
2187,0.5,6,['KVKSEGMENT_8']
